id,name,detailed_type,categ_id/id,list_price,uom_id/id,uom_po_id/id
tmpl_clone_cutting_labor,Clone Cutting Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_clone_watering_labor,Clone Watering Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_clone_plugs,Clone Plugs,consu,trellis_root.prod_inputs_category,0.20,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_rooting_gel,Clone Rooting Gel,consu,trellis_root.prod_inputs_category,50,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_nutrients,Clone Nutrients (Jack's),consu,trellis_root.prod_inputs_category,0.016,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_water,Clone Water,consu,trellis_root.prod_inputs_category,0.003,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_lighting,Clone Lighting Overhead,service,trellis_root.prod_inputs_category,320,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_hvac,Clone HVAC Overhead,service,trellis_root.prod_inputs_category,160,uom.product_uom_unit,uom.product_uom_unit

tmpl_veg_transplant,Veg Transplant Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_veg_tagging,Veg Tagging Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_veg_care,Veg General Care Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_move_flower,Move-to-Flower Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_veg_pots,Veg Pots (3 gal),consu,trellis_root.prod_inputs_category,1.5,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_coco,Veg Coco Media,consu,trellis_root.prod_inputs_category,0.25,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_nutrients,Veg Nutrients (Jack's),consu,trellis_root.prod_inputs_category,0.032,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_water,Veg Water,consu,trellis_root.prod_inputs_category,0.003,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_lighting,Veg Lighting Overhead,service,trellis_root.prod_inputs_category,1000,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_hvac,Veg HVAC Overhead,service,trellis_root.prod_inputs_category,200,uom.product_uom_unit,uom.product_uom_unit
tmpl_veg_ipm_labor,Veg IPM Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_veg_ipm_supplies,Veg IPM Supplies,consu,trellis_root.prod_inputs_category,50,uom.product_uom_unit,uom.product_uom_unit

tmpl_flower_care,Flower Daily Care Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_flower_defol,Flower Defoliation Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_flower_waste,Flower Waste Mgmt Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_flower_nutrients,Flower Nutrients (Jack's),consu,trellis_root.prod_inputs_category,0.032,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_water,Flower Water,consu,trellis_root.prod_inputs_category,0.003,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_lighting,Flower Lighting Overhead,service,trellis_root.prod_inputs_category,2000,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_hvac,Flower HVAC Overhead,service,trellis_root.prod_inputs_category,1000,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_ipm_labor,Flower IPM Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_flower_ipm_supplies,Flower IPM Supplies,consu,trellis_root.prod_inputs_category,200,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_co2,Flower CO2 Weeks 1-7,consu,trellis_root.prod_inputs_category,0.05,uom.product_uom_unit,uom.product_uom_unit

tmpl_harvest_labor,Harvest Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_harvest_supplies,Harvest Supplies,consu,trellis_root.prod_inputs_category,250,uom.product_uom_unit,uom.product_uom_unit

tmpl_buck_labor,Buck Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_buck_supplies,Buck Supplies,consu,trellis_root.prod_inputs_category,250,uom.product_uom_unit,uom.product_uom_unit

tmpl_dry_monitoring,Dry Room Monitoring Labor Hours,service,trellis_root.prod_inputs_category,20,uom.product_uom_hour,uom.product_uom_hour
tmpl_dry_hvac,Dry Room HVAC Overhead,service,trellis_root.prod_inputs_category,500,uom.product_uom_unit,uom.product_uom_unit
tmpl_dry_supplies,Dry Room Supplies,consu,trellis_root.prod_inputs_category,100,uom.product_uom_unit,uom.product_uom_unit

tmpl_metrc_license,METRC License Allocation,consu,trellis_root.prod_inputs_category,1000,uom.product_uom_unit,uom.product_uom_unit
tmpl_plant_tags,Plant Tags,consu,trellis_root.prod_inputs_category,0.45,uom.product_uom_unit,uom.product_uom_unit
tmpl_clone_tags,Clone Package Tags,consu,trellis_root.prod_inputs_category,0.25,uom.product_uom_unit,uom.product_uom_unit
tmpl_flower_tag,Flower Package Tag,consu,trellis_root.prod_inputs_category,0.25,uom.product_uom_unit,uom.product_uom_unit
